fiscal_year,sector,sector_name,capital_net_lending,financial_net_lending,capital_net_lending_ratio,financial_net_lending_ratio,capital_financial_difference
2004,npish,対家計民間非営利団体,-572.3,2604.6,-0.1,0.5,-3176.8999999999996
2004,rest_of_world,海外部門,-18825.6,-18825.6,-3.5,-3.5,0.0
2005,nonfinancial_corporations,非金融法人企業,29736.2,7857.6,5.5,1.5,21878.6
2005,financial_corporations,金融機関,6495.8,22965.0,1.2,4.3,-16469.2
2005,general_government,一般政府,-21564.1,-21215.4,-4.0,-3.9,-348.6999999999971
2005,households,家計,1183.5,8917.0,0.2,1.7,-7733.5
2005,npish,対家計民間非営利団体,-1042.8,167.2,-0.2,0.0,-1210.0
2005,rest_of_world,海外部門,-18691.4,-18691.4,-3.5,-3.5,0.0
2006,nonfinancial_corporations,非金融法人企業,13206.6,-4280.7,2.4,-0.8,17487.3
2006,financial_corporations,金融機関,14479.5,16943.8,2.7,3.1,-2464.2999999999993
2006,general_government,一般政府,-16371.0,-13110.0,-3.0,-2.4,-3261.0
2006,households,家計,10538.8,19920.8,1.9,3.7,-9382.0
2006,npish,対家計民間非営利団体,-318.0,1904.0,-0.1,0.4,-2222.0
2006,rest_of_world,海外部門,-21377.9,-21377.9,-3.9,-3.9,0.0
2007,nonfinancial_corporations,非金融法人企業,15647.9,14506.2,2.9,2.7,1141.699999999999
2007,financial_corporations,金融機関,13180.4,3698.2,2.4,0.7,9482.2
2007,general_government,一般政府,-15695.0,-11025.7,-2.9,-2.0,-4669.299999999999
2007,households,家計,11821.4,17727.8,2.2,3.3,-5906.4
2007,npish,対家計民間非営利団体,-243.6,-954.5,0.0,-0.2,710.9
2007,rest_of_world,海外部門,-23952.0,-23952.0,-4.4,-4.4,0.0
2008,nonfinancial_corporations,非金融法人企業,7534.5,10093.4,1.4,1.9,-2558.8999999999996
2008,financial_corporations,金融機関,10714.5,11506.1,2.1,2.2,-791.6000000000004
2008,general_government,一般政府,-27871.5,-27070.2,-5.3,-5.2,-801.2999999999993
2008,households,家計,16174.7,14559.2,3.1,2.8,1615.5
2008,npish,対家計民間非営利団体,-477.2,1106.1,-0.1,0.2,-1583.3
2008,rest_of_world,海外部門,-10194.6,-10194.6,-2.0,-2.0,0.0
2009,nonfinancial_corporations,非金融法人企業,31597.2,31031.3,6.3,6.2,565.9000000000015
2009,financial_corporations,金融機関,8782.0,16720.7,1.8,3.3,-7938.700000000001
2009,general_government,一般政府,-50405.0,-46177.2,-10.1,-9.2,-4227.800000000003
2009,households,家計,28265.3,14184.1,5.6,2.8,14081.199999999999
2009,npish,対家計民間非営利団体,-948.8,507.6,-0.2,0.1,-1456.4
2009,rest_of_world,海外部門,-16266.5,-16266.5,-3.2,-3.2,0.0
2010,nonfinancial_corporations,非金融法人企業,40441.2,31661.0,7.9,6.2,8780.199999999997
2010,financial_corporations,金融機関,5591.0,5044.9,1.1,1.0,546.1000000000004
2010,general_government,一般政府,-45065.6,-39986.6,-8.9,-7.9,-5079.0
2010,households,家計,19671.0,20250.6,3.9,4.0,-579.5999999999985
2010,npish,対家計民間非営利団体,51.2,811.8,0.0,0.2,-760.5999999999999
2010,rest_of_world,海外部門,-17781.7,-17781.7,-3.5,-3.5,0.0
2011,nonfinancial_corporations,非金融法人企業,30108.3,25243.4,6.0,5.0,4864.899999999998
2011,financial_corporations,金融機関,6421.6,3754.4,1.3,0.7,2667.2000000000003
2011,general_government,一般政府,-44793.6,-41125.7,-8.9,-8.2,-3667.9000000000015
2011,households,家計,16736.4,21478.8,3.3,4.3,-4742.399999999998
2011,npish,対家計民間非営利団体,-803.1,-903.0,-0.2,-0.2,99.89999999999998
2011,rest_of_world,海外部門,-8447.9,-8447.9,-1.7,-1.7,0.0
2012,nonfinancial_corporations,非金融法人企業,32506.0,20110.3,6.4,4.0,12395.7
2012,financial_corporations,金融機関,5166.5,4927.4,1.0,1.0,239.10000000000036
2012,general_government,一般政府,-41193.4,-36509.3,-8.2,-7.2,-4684.0999999999985
2012,households,家計,6985.9,15552.6,1.4,3.1,-8566.7
