year,timing,resident_tax_income_year,monthly_total_cash_earnings_yen,monthly_regular_earnings_yen,monthly_special_earnings_yen,annual_regular_pay_yen,annual_bonus_yen,gross_salary_yen,pension_yen,health_insurance_yen,long_term_care_yen,employment_insurance_yen,social_insurance_yen,salary_income_deduction_yen,salary_income_yen,basic_deduction_yen,other_income_deductions_yen,taxable_income_yen,base_income_tax_yen,income_tax_yen,after_income_tax_and_social_insurance_yen,resident_tax_assessment_year,resident_basic_deduction_yen,resident_taxable_income_yen,base_resident_income_levy_yen,resident_adjustment_credit_yen,resident_other_reduction_yen,resident_income_levy_yen,resident_per_capita_yen,forest_environment_tax_yen,resident_tax_yen,total_deductions_yen,nominal_take_home_yen,effective_burden_rate,take_home_rate,cpi,real_gross_salary_yen,real_take_home_yen,gross_salary_index,nominal_take_home_index,real_gross_salary_index,real_take_home_index,income_tax_rate,resident_tax_rate,pension_rate_effective,health_insurance_rate_effective,employment_insurance_rate_effective,component_burden_rate_sum,component_burden_rate_error
2000,income_year,2000,355305.5,283847.3333333333,71458.16666666667,3406168.0,857498.0,4263666.0,295767.0,145372.2,0.0,17054.664,458193.864,1392733.2000000002,2870932.8,380000.0,0.0,2032000.0,203200.0,162500.0,3642972.136,2001,330000.0,2082000.0,108200.0,0.0,16230.0,91900.0,3500.0,0.0,95400.0,716093.8640000001,3547572.136,0.1679526173016367,0.8320473826983633,96.39999999999999,4422890.041493776,3680054.082987552,108.23140997685434,108.47807073823283,100.72781464477987,100.95737461685812,0.0381127414764665,0.022375110996030175,0.06936917666627733,0.034095588162862664,0.004,0.1679526173016367,0.0
2001,income_year,2001,351227.6666666667,281884.0833333333,69343.58333333333,3382609.0,832123.0,4214732.0,295640.0,145296.0,0.0,23597.0875,464533.0875,1382946.4,2831785.6,380000.0,0.0,1987000.0,198700.0,158900.0,3591298.9125,2002,330000.0,2037000.0,103700.0,0.0,15555.0,88100.0,3500.0,0.0,91600.0,715033.0875,3499698.9125,0.16965090247731054,0.8303490975226895,95.47500000000001,4414487.562189054,3665565.7632888188,106.98924048801366,107.01419777773663,100.53645483930825,100.55990689317554,0.03770109226399211,0.021733291701583873,0.07014443622987179,0.03447336627809312,0.005598716003769635,0.16965090247731054,0.0
2002,income_year,2002,343217.5,278873.0833333333,64344.416666666664,3346477.0,772133.0,4118610.0,295340.0,145116.0,0.0,25934.34575,466390.34575,1363722.0,2754888.0,380000.0,0.0,1908000.0,190800.0,152600.0,3499619.65425,2003,330000.0,1958000.0,97900.0,0.0,14685.0,83200.0,3500.0,0.0,86700.0,705690.34575,3412919.65425,0.17134187159017242,0.8286581284098277,94.5,4358317.46031746,3611555.1896825396,104.54922300310861,104.36065159060564,99.25722529554382,99.0781988557725,0.03705133528059224,0.02105079140778078,0.07170865898931922,0.035234217369452314,0.006296868543027866,0.17134187159017242,0.0
2003,income_year,2003,341789.9166666667,278748.25,63041.666666666664,3344979.0,756500.0,4101479.0,295310.4,170016.0,0.0,28710.353,494036.753,1360295.8,2741183.2,380000.0,0.0,1867000.0,186700.0,149300.0,3458142.247,2004,330000.0,1917000.0,95850.0,0.0,14377.5,81400.0,4000.0,0.0,85400.0,728736.753,3372742.247,0.1776765778881228,0.8223234221118771,94.18333333333334,4354782.162449124,3581039.3703769245,104.11435960519857,103.13210218874387,99.17671168904332,98.24103806087562,0.03640150297002618,0.020821757224649937,0.07200095380227474,0.04145236389117194,0.007,0.1776765778881228,0.0
2004,income_year,2004,333219.0,272360.9166666667,60858.083333333336,3268331.0,730297.0,3998628.0,279843.85,167690.0,0.0,27990.396,475524.246,1339725.6,2658902.4,380000.0,0.0,1803000.0,180300.0,144200.0,3378903.754,2005,330000.0,1853000.0,92650.0,0.0,13897.5,78700.0,4000.0,0.0,82700.0,702424.246,3296203.7539999997,0.1756663150460608,0.8243336849539391,94.18333333333334,4245579.189523978,3499773.938064059,101.5035292194391,100.79169930486809,96.68970054649454,96.01162933252606,0.036062369392701694,0.020682093958227673,0.06998496734379892,0.041936884351332505,0.007,0.17566631504606078,2.7755575615628914e-17
2005,income_year,2005,335498.5,273337.4166666667,62161.083333333336,3280049.0,745933.0,4025982.0,288566.52,168264.0,0.0,31387.84375,488218.36375,1345196.4,2680785.6,380000.0,0.0,1812000.0,181200.0,144900.0,3392863.63625,2006,330000.0,1862000.0,93100.0,0.0,6982.5,86100.0,4000.0,0.0,90100.0,723218.36375,3302763.63625,0.1796377539069971,0.8203622460930029,93.8,4292091.684434968,3521069.974680171,102.19789927293459,100.99228814238003,97.7489857473715,96.59585768842071,0.03599121903674681,0.02237963309324284,0.07167605816419448,0.04179452367149183,0.007796319941321148,0.17963775390699713,-2.7755575615628914e-17
2006,income_year,2006,336304.5833333333,273141.0833333333,63163.5,3277693.0,757962.0,4035655.0,296698.5,168756.0,0.0,32285.24,497739.74,1347131.0,2688524.0,380000.0,0.0,1810000.0,181000.0,162900.0,3375015.26,2007,330000.0,1860000.0,186000.0,2500.0,0.0,183500.0,4000.0,0.0,187500.0,848139.74,3187515.26,0.2101616069758193,0.7898383930241807,94.10000000000001,4288687.566418703,3387370.0956429327,102.44344440444961,97.46820997510412,97.6714596580149,92.92797986113804,0.040365194745338735,0.046460859513511435,0.07351929240730438,0.041816260309664725,0.008,0.21016160697581932,-2.7755575615628914e-17
2007,income_year,2007,330514.6666666667,269939.0,60575.666666666664,3239268.0,726908.0,3966176.0,284048.97,157686.0,0.0,25416.69,467151.66,1333235.2000000002,2632940.8,380000.0,0.0,1785000.0,89250.0,89200.0,3409824.34,2008,330000.0,1835000.0,183500.0,2500.0,0.0,181000.0,4000.0,0.0,185000.0,741351.6599999999,3224824.34,0.18691849781754513,0.8130815021824548,94.175,4211495.61985665,3424289.1850278736,100.67974853010536,98.60905133484648,95.91347426556183,93.94080582877243,0.022490176936172272,0.04664442525999855,0.0716178429802409,0.0397576910353953,0.0064083616057381216,0.18691849781754516,-2.7755575615628914e-17
2008,income_year,2008,331680.5833333333,270971.6666666667,60708.916666666664,3251660.0,728507.0,3980167.0,309144.92,167608.0,0.0,23881.002,500633.922,1336033.4,2644133.6,380000.0,0.0,1763000.0,88150.0,88100.0,3391433.0779999997,2009,330000.0,1813000.0,181300.0,2500.0,0.0,178800.0,4000.0,0.0,182800.0,771533.922,3208633.0779999997,0.19384461054021102,0.8061553894597889,95.68333333333334,4159728.618707542,3353387.6446612086,101.03490431786786,98.11395305432,94.73452185038887,91.99571665065397,0.022134749622314844,0.0459277211232594,0.07767134394109594,0.04211079585354082,0.006,0.19384461054021102,0.0
2009,income_year,2009,316145.3333333333,263087.3333333333,53058.0,3157048.0,636696.0,3793744.0,290676.66,153996.0,0.0,16753.5,461426.16,1298748.8,2494995.2,380000.0,0.0,1653000.0,82650.0,82600.0,3249717.84,2010,330000.0,1703000.0,170300.0,2500.0,0.0,167800.0,4000.0,0.0,171800.0,715826.1599999999,3077917.84,0.18868594190857368,0.8113140580914263,94.25,4025192.572944297,3265695.3209549068,96.30263304190133,94.11692740107507,91.67057005562418,89.58999473032485,0.02177268682335972,0.045285079857786924,0.07661999860823503,0.04059209055750731,0.004416086061684711,0.18868594190857368,0.0
2010,income_year,2010,318146.25,263933.5833333333,54212.666666666664,3167203.0,650552.0,3817755.0,298436.45,173095.0,0.0,21322.9285,492854.3785,1303551.0,2514204.0,380000.0,0.0,1641000.0,82050.0,82000.0,3242900.6215,2011,330000.0,1691000.0,169100.0,2500.0,0.0,166600.0,4000.0,0.0,170600.0,745454.3785,3072300.6215,0.1952598787769252,0.8047401212230748,93.53333333333335,4081705.274411974,3284711.9973271554,96.91214241363782,93.9451634446465,92.95760203360874,90.11169187856949,0.02147859147588046,0.044685947631526904,0.07817066574465883,0.045339473067286924,0.005585200857572055,0.19525987877692516,2.7755575615628914e-17
2011,income_year,2011,317604.25,263046.25,54558.0,3156555.0,654696.0,3811251.0,305434.05,178849.0,0.0,22867.506,507150.556,1302250.2000000002,2509000.8,380000.0,0.0,1621000.0,81050.0,81000.0,3223100.444,2012,330000.0,1671000.0,167100.0,2500.0,0.0,164600.0,4000.0,0.0,168600.0,756750.556,3054500.444,0.19855699768921017,0.8014430023107898,93.25,4087132.439678284,3275603.6932975873,96.74704104535769,93.40086756003194,93.08120142040399,89.8618177078913,0.021252864217024804,0.044237443296177556,0.08014010360377734,0.046926586572230485,0.006,0.1985569976892102,-2.7755575615628914e-17
2012,income_year,2012,315157.3333333333,262541.25,52616.083333333336,3150495.0,631393.0,3781888.0,310123.35,186200.0,0.0,19697.06375,516020.4137499999,1296377.6,2485510.4,380000.0,0.0,1589000.0,79450.0,79400.0,3186467.58625,2013,330000.0,1639000.0,163900.0,2500.0,0.0,161400.0,4000.0,0.0,165400.0,760820.4137499998,3021067.58625,0.20117476079407953,0.7988252392059205,93.26666666666667,4054919.2280200142,3239171.822283774,96.00167335212132,92.37855377219307,92.34757106048409,88.8623579263251,0.020994804711297638,0.04373476951194747,0.08200225654487917,0.049234667975360455,0.005208262050594836,0.20117476079407953,0.0
2013,income_year,2013,315769.4166666667,261747.41666666666,54022.0,3140969.0,648264.0,3789233.0,318285.72,188400.0,0.0,18946.165,525631.885,1297846.6,2491386.4,380000.0,0.0,1585000.0,79250.0,80900.0,3182701.115,2014,330000.0,1635000.0,163500.0,2500.0,0.0,161000.0,5000.0,0.0,166000.0,772531.885,3016701.115,0.2038755296916289,0.7961244703083712,93.71666666666665,4043286.1461853106,3218959.041436956,96.18812315993459,92.24503530971354,92.08263684330925,88.30784724741028,0.021349967130551224,0.043808337993467276,0.08399740000153065,0.049719824566079734,0.005,0.2038755296916289,0.0
2014,income_year,2014,318848.1666666667,262834.0,56014.166666666664,3154008.0,672170.0,3826178.0,327030.72,189600.0,0.0,19130.89,535761.61,1305235.6,2520942.4,380000.0,0.0,1605000.0,80250.0,81900.0,3208516.39,2015,330000.0,1655000.0,165500.0,2500.0,0.0,163000.0,5000.0,0.0,168000.0,785661.61,3040516.39,0.20533848921822245,0.7946615107817776,96.84166666666665,3950962.567765253,3139677.8831425873,97.12595680862913,92.97326154079826,89.98004053022126,86.13287442975941,0.021405172472373214,0.04390804609717582,0.08547190433900356,0.04955336630966986,0.005,0.20533848921822248,-2.7755575615628914e-17
2015,income_year,2015,315505.1666666667,260575.0,54930.166666666664,3126900.0,659162.0,3786062.0,332506.99,188900.0,0.0,18930.31,540337.3,1297212.4,2488849.6,380000.0,0.0,1568000.0,78400.0,80000.0,3165724.7,2016,330000.0,1618000.0,161800.0,2500.0,0.0,159300.0,5000.0,0.0,164300.0,784637.3,3001424.7,0.20724364788532254,0.7927563521146775,97.8,3871229.0388548058,3068941.411042945,96.10762862752125,91.77791132647437,88.16417261451038,84.19231367934756,0.02113013468876104,0.04339601411704298,0.0878239685456815,0.04989353053383701,0.005,0.2072436478853225,2.7755575615628914e-17
