年,年齢,年齢区分,年収（万円）,年収（円）,月例賃金（円）,年間賞与相当額（円）,所得税（円）,住民税（円）,厚生年金（円）,健康保険（円）,介護保険（円）,雇用保険（円）,社会保険料総額（円）,控除総額（円）,名目手取り（円）,実効負担率（%）,手取り率（%）,手取り（100円あたり）,所得税（100円あたり）,住民税（100円あたり）,厚生年金（100円あたり）,健康保険（100円あたり）,介護保険（100円あたり）,雇用保険（100円あたり）,性別,扶養人数,給与所得のみ
1997,35,20～39歳,500,5000000.0,323897.645126151,1113228.2584861885,255800.0,147300.0,338686.0,162699.6,0.0,20000.0,521385.6,924485.6,4075514.4,18.489712,81.510288,81.510288,5.116,2.946,6.77372,3.253992,0.0,0.4,男性,0,True
1997,35,20～39歳,550,5500000.0,356287.409638766,1224551.0843348075,289400.0,180900.0,380882.0,182953.2,0.0,22000.0,585835.2,1056135.2,4443864.8,19.20245818181818,80.79754181818181,80.79754181818181,5.261818181818182,3.289090909090909,6.9251272727272735,3.326421818181818,0.0,0.4,男性,0,True
1997,35,20～39歳,600,6000000.0,388677.1741513811,1335873.9101834265,326000.0,217500.0,402259.0,193247.4,0.0,24000.0,619506.4,1163006.4,4836993.6,19.38344,80.61655999999999,80.61655999999999,5.433333333333333,3.6249999999999996,6.704316666666667,3.2207899999999996,0.0,0.4,男性,0,True
1997,35,20～39歳,650,6500000.0,421066.93866399623,1447196.7360320447,392200.0,252600.0,434045.0,208521.0,0.0,26000.0,668566.0,1313366.0,5186633.999999999,20.205630769230773,79.79436923076922,79.79436923076922,6.033846153846155,3.8861538461538467,6.677615384615386,3.208015384615385,0.0,0.4000000000000001,男性,0,True
1997,35,20～39歳,700,7000000.0,453456.70317661134,1558519.5618806644,470400.0,291700.0,465832.0,223795.2,0.0,28000.0,717627.2,1479727.2,5520272.8,21.138959999999997,78.86103999999999,78.86103999999999,6.72,4.167142857142857,6.654742857142858,3.197074285714286,0.0,0.4,男性,0,True
1997,35,20～39歳,750,7500000.0,485846.46768922644,1669842.3877292827,541400.0,327200.0,528849.0,254009.4,0.0,30000.0,812858.4,1681458.4,5818541.6,22.419445333333332,77.58055466666666,77.58055466666666,7.218666666666667,4.362666666666667,7.05132,3.386792,0.0,0.4,男性,0,True
1997,35,20～39歳,800,8000000.0,518236.2322018415,1781165.2135779017,621600.0,367300.0,560635.0,269283.0,0.0,32000.0,861918.0,1850818.0,6149182.0,23.135225000000002,76.864775,76.864775,7.7700000000000005,4.5912500000000005,7.0079375,3.3660375,0.0,0.4,男性,0,True
1997,35,20～39歳,850,8500000.0,550625.9967144567,1892488.03942652,701800.0,407400.0,592422.0,284557.2,0.0,34000.0,910979.2,2020179.2,6479820.8,23.76681411764706,76.23318588235294,76.23318588235294,8.256470588235294,4.792941176470588,6.969670588235294,3.347731764705882,0.0,0.4,男性,0,True
1997,35,20～39歳,900,9000000.0,583015.7612270718,2003810.865275139,781800.0,447400.0,624209.0,299831.4,0.0,36000.0,960040.4,2189240.4,6810759.6,24.324893333333332,75.67510666666666,75.67510666666666,8.686666666666666,4.971111111111111,6.935655555555556,3.33146,0.0,0.4,男性,0,True
1997,35,20～39歳,950,9500000.0,615405.5257396868,2115133.691123758,868400.0,490700.0,624765.0,315105.0,0.0,38000.0,977870.0,2336970.0,7163030.0,24.599684210526316,75.40031578947368,75.40031578947368,9.141052631578948,5.165263157894737,6.5764736842105265,3.3168947368421056,0.0,0.4,男性,0,True
