year,cpi,gross_salary_yen,actual_income_tax_yen,actual_resident_tax_yen,actual_pension_yen,actual_health_insurance_yen,actual_employment_insurance_yen,actual_total_deductions_yen,actual_nominal_take_home_yen,actual_real_take_home_yen,actual_effective_burden_rate,fixed_1990_gross_salary_yen,fixed_1990_income_tax_yen,fixed_1990_resident_tax_yen,fixed_1990_pension_yen,fixed_1990_health_insurance_yen,fixed_1990_employment_insurance_yen,fixed_1990_total_deductions_yen,fixed_1990_nominal_take_home_yen,fixed_1990_effective_burden_rate,fixed_1990_real_take_home_yen,income_tax_yen_difference_yen,resident_tax_yen_difference_yen,pension_yen_difference_yen,health_insurance_yen_difference_yen,employment_insurance_yen_difference_yen,total_deductions_yen_difference_yen,nominal_take_home_yen_difference_yen,real_take_home_difference_yen,burden_rate_difference_pt,fixed_policy_year
2004,94.18333333333334,3998628.0,144200.0,82700.0,279843.85,167690.0,27990.396,702424.246,3296203.7539999997,3499773.938064059,0.1756663150460608,3998628.0,194800.0,121500.0,240240.0,143310.6,21992.454,721843.054,3276784.946,0.1805226827801936,3479155.8442753493,-50600.0,-38800.0,39603.84999999998,24379.399999999994,5997.941999999999,-19418.80799999996,19418.807999999728,20618.09378870949,-0.48563677341327827,1990
2005,93.8,4025982.0,144900.0,90100.0,288566.52,168264.0,31387.84375,723218.36375,3302763.63625,3521069.974680171,0.1796377539069971,4025982.0,197000.0,123700.0,240240.0,143357.4,22142.901,726440.301,3299541.699,0.1804380399614305,3517635.0735607683,-52100.0,-33600.0,48326.52000000002,24906.600000000006,9244.942749999998,-3221.937249999959,3221.937249999959,3434.9011194026098,-0.08002860544334134,1990
2006,94.1,4035655.0,162900.0,187500.0,296698.5,168756.0,32285.24,848139.74,3187515.26,3387370.0956429327,0.2101616069758193,4035655.0,197700.0,124400.0,240240.0,143393.4,22196.1025,727929.5025,3307725.4975,0.18037456187409479,3515117.425611052,-34800.0,63100.0,56458.5,25362.600000000006,10089.1375,120210.23750000005,-120210.23750000028,-127747.3299681195,2.97870451017245,1990
2007,94.175,3966176.0,89200.0,185000.0,284048.97,157686.0,25416.69,741351.6599999999,3224824.34,3424289.1850278736,0.1869184978175451,3966176.0,194900.0,121600.0,223080.0,133220.4,21813.968,694614.368,3271561.632,0.17513452958214665,3473917.315635785,-105700.0,63400.0,60968.96999999997,24465.600000000006,3602.721999999998,46737.2919999999,-46737.292000000365,-49628.130607911386,1.1783968235398457,1990
2008,95.68333333333334,3980167.0,88100.0,182800.0,309144.92,167608.0,23881.002,771533.922,3208633.0779999997,3353387.6446612086,0.193844610540211,3980167.0,193300.0,120000.0,240240.0,143305.2,21890.9185,718736.1185,3261430.8815,0.1805793873724394,3408567.373105731,-105200.0,62800.0,68904.91999999998,24302.79999999999,1990.0835000000006,52797.80350000004,-52797.80350000039,-55179.72844452225,1.3265223167771594,1990
2009,94.25,3793744.0,82600.0,171800.0,290676.66,153996.0,16753.5,715826.1599999999,3077917.84,3265695.3209549068,0.1886859419085736,3793744.0,181300.0,108000.0,223080.0,132949.8,20865.592,666195.392,3127548.608,0.1756036759465056,3318353.9607427055,-98700.0,63800.0,67596.65999999997,21046.20000000001,-4112.092000000001,49630.76799999992,-49630.76800000016,-52658.63978779875,1.308226596206799,1990
2010,93.53333333333336,3817755.0,82000.0,170600.0,298436.45,173095.0,21322.9285,745454.3785,3072300.6215,3284711.997327155,0.1952598787769252,3817755.0,183200.0,109900.0,223080.0,132991.2,20997.6525,670168.8525,3147586.1475,0.17554003661837914,3365202.5810762644,-101200.0,60700.0,75356.45000000001,40103.79999999999,325.27600000000166,75285.52599999995,-75285.52600000007,-80490.58374910941,1.9719842158546053,1990
2011,93.25,3811251.0,81000.0,168600.0,305434.05,178849.0,22867.506,756750.556,3054500.444,3275603.6932975873,0.1985569976892101,3811251.0,182600.0,109300.0,223080.0,133003.8,20961.8805,668945.6805,3142305.3195,0.17551866316335502,3369764.4176943703,-101600.0,59300.0,82354.04999999999,45845.20000000001,1905.625500000002,87804.87549999997,-87804.87550000008,-94160.72439678293,2.3038334525855078,1990
2012,93.26666666666668,3781888.0,79400.0,165400.0,310123.35,186200.0,19697.06375,760820.4137499998,3021067.58625,3239171.822283774,0.2011747607940795,3781888.0,180300.0,107000.0,223080.0,132933.6,20800.384,664113.9839999999,3117774.016,0.17560382116022472,3342859.917083631,-100900.0,58400.0,87043.34999999998,53266.399999999994,-1103.320249999997,96706.4297499999,-96706.42974999966,-103688.09479985666,2.557093963385479,1990
2013,93.71666666666664,3789233.0,80900.0,166000.0,318285.72,188400.0,18946.165,772531.885,3016701.115,3218959.041436956,0.2038755296916289,3789232.9999999995,180900.0,107600.0,223080.0,132984.6,20840.7815,665405.3815,3123827.6184999994,0.17560424009291592,3333267.9550062246,-100000.0,58400.0,95205.71999999997,55415.399999999994,-1894.6165,107126.50349999999,-107126.50349999918,-114308.91356926877,2.827128959871297,1990
