分析ID,分析,レコード種別ID,レコード種別,年,期間,開始年,終了年,指標ID,指標,値,単位ID,単位,確認項目ID,確認項目,比較ケースID,比較ケース,備考,産業,事業所規模,就業形態,モデル年齢,モデル性別ID,モデル性別,住民税対応ID,住民税対応,CPI系列,基準年
take_home_wage,手取り賃金分析,annual_main,年次主系列,2022,,,,resident_tax_income_year,resident_tax_income_year,2022.0,value,数値,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2023,,,,resident_tax_income_year,resident_tax_income_year,2023.0,value,数値,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2024,,,,resident_tax_income_year,resident_tax_income_year,2024.0,value,数値,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2025,,,,resident_tax_income_year,resident_tax_income_year,2025.0,value,数値,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1990,,,,monthly_total_cash_earnings_yen,月間現金給与総額,328283.1666666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1991,,,,monthly_total_cash_earnings_yen,月間現金給与総額,344495.75,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1992,,,,monthly_total_cash_earnings_yen,月間現金給与総額,351587.8333333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1993,,,,monthly_total_cash_earnings_yen,月間現金給与総額,352296.6666666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1994,,,,monthly_total_cash_earnings_yen,月間現金給与総額,358037.4166666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1995,,,,monthly_total_cash_earnings_yen,月間現金給与総額,362231.5,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1996,,,,monthly_total_cash_earnings_yen,月間現金給与総額,365442.5833333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1997,,,,monthly_total_cash_earnings_yen,月間現金給与総額,371306.75,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1998,,,,monthly_total_cash_earnings_yen,月間現金給与総額,366352.5,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1999,,,,monthly_total_cash_earnings_yen,月間現金給与総額,353564.25,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2000,,,,monthly_total_cash_earnings_yen,月間現金給与総額,355305.5,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2001,,,,monthly_total_cash_earnings_yen,月間現金給与総額,351227.6666666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2002,,,,monthly_total_cash_earnings_yen,月間現金給与総額,343217.5,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2003,,,,monthly_total_cash_earnings_yen,月間現金給与総額,341789.9166666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2004,,,,monthly_total_cash_earnings_yen,月間現金給与総額,333219.0,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2005,,,,monthly_total_cash_earnings_yen,月間現金給与総額,335498.5,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2006,,,,monthly_total_cash_earnings_yen,月間現金給与総額,336304.5833333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2007,,,,monthly_total_cash_earnings_yen,月間現金給与総額,330514.6666666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2008,,,,monthly_total_cash_earnings_yen,月間現金給与総額,331680.5833333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
